key,title,User1,Decision,User2,Decision,User3,Decision,User4,Decision,User5,Decision,labels,notes
rayyan-398577157,Bridging the Gender Gap: Women in Georgia’s Cybersecurity Future,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577158,Cyber security skills development in South Africa: Addressing the Gender Gap in the Industry,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577159,"Evaluating the Effectiveness of Cybersecurity Training: Key Elements, Best Strategies, and Future Prospects",Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577160,Women in Electrical Engineering – Serbian Story: Mission Ongoing!,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577161,Unraveling Women’s Involvement in the Digital Realm: An Empirical Investigation,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577162,Non-Traditional Education to Advance Women in Computing Careers in the St. Louis Metro Region,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577163,Understanding Students' Experience and Perception of Gender Bias in a Software Engineering Education Environment,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577164,Contributions of Women to Cloud Computing: Fostering a diverse and inclusive community,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577165,Enhancing and Analyzing Cybersecurity Awareness Among Construction Company Employees,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577166,Gender Classification Based on Machine Learning Models,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577167,Data Analysis of Cyber Security for Women in Haryana,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577168,Empowering Women’s Safety: An Innovative Smart Security System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577169,Random Forest Model for Evaluating Recidivism Risk in Women,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577170,Utilizing Artificial Neural Networks and Mel-Frequency Cepstral Coefficients for Gender Identification from Voice Data,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577171,The Role of Diversity in Cybersecurity Risk Analysis: An Experimental Plan,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577172,A Survey of Age and Gender Detector for Retail Analysis,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577173,Women Safety-Saviour Android Application,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577174,Age Estimation and Gender Identification Using Advanced Deep Learning Methods,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577175,“We Make the Village” - Inspiring STEM Among Young Girls and the Power of Creative Engineering Education in Action,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577176,Advanced Women Security System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577177,Securing IoT-Enabled Web Applications and Enhancing Women's Safety Through Advanced Technologies,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577178,"Deep Transfer Learning Empowered Facial Features based Age,Gender and Ethnicity Prediction System",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577179,"Gender Disparities in Cybersecurity Awareness, Practices, and Knowledge: A Comparative Study of Omani and Filipino University Students",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577180,Knowledge of cybersecurity against social cybercrime of female high school students,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577181,Integrated Women’s Security System with Safe Route Navigation and Instant Law Enforcement Reporting,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577182,Indirect Effect of Transformational and Transactional Leadership Toward Information Security Compliance Behavior: A Conceptual Approach in Healthcare,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577183,The Importance of the Job Role in Social Media Cybersecurity Training,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577184,Hanuma: An Advanced Safety Solution Using GPS and Sensor Technologies for Women's Security,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577185,Empowering Safety: Designing of an IoT based Women Protective System using Artificial Intelligence enabled Smart Sensors,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577186,Management of Stakeholder Communications in IT Projects,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577187,Perspectives from Ireland: Women’s Responses to Cyber-located Sexual Violence (CLSV),Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577188,Women Safety Precaution,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577189,Her Shield: Women Safety System using Voice AI,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577190,Prediction of Human Age and Gender Using Deep Learning For Smart Security Systems,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577191,Correlating Healthcare Staff’s Stress Level and Cybersecurity Practices in Norway,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577192,Gender Recognition using EEG during Mobile Game Play,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577194,NCCP: A Logical Development of Deep Learning Based Human Gender Classification System Using Neural Convolutional Classification Principles,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577195,Impact of Digital Face Beautification in Biometrics,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577196,The GapApp: Matching Military Occupations and Civil Jobs in Cyber Security for Women,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577197,HUMSAFAR: Woman Safety Device with Tracking using ARDUINO,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577198,Customized Billboard Advertisement through Age and Gender Identification,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577199,"The effectiveness of Women 4IR Cyber 3A #Aware, Avoid, Act Program in Malaysia",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577200,"Gender Diversity in Cybersecurity: Gaps, Challenges, and Proposals",Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao,3selecao",""
rayyan-398577201,Empowering Women’s Safety: A Comprehensive GPS and GSM-Enabled Automated Anesthesia and Pepper Spray Defense System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577202,"Understanding the Influence of Demographics and Stream of Education on Cybercrime Awareness Among Students in Rajasthan, India",Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao",""
rayyan-398577203,Motivating STEM+C Learning with Social Impact of Cybersecurity and Digital Forensics,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577204,Development and Implementation of Internet of Things based Advanced Women Safety and Security System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577205,Design and Implementation of a GPS-GSM Based Women Safety Device for Combating Sexual Assaults,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577206,RESPECT 2020 Prepint proceedings,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577207,An Exploration of SETA in Cyber Bullying to Reduce Social Harm & Juvenile Suicide,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577208,Deep Learning Based Web Application for Prediction of Bone Age Range and Gender,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577209,Custom Model and Testing Dataset For Age and Gender Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577210,Multi-task Learning based Voice Verification with Triplet Loss,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577211,Efficiency of Architectural Innovations in Deep Learning for Enhanced Age Prediction and Gender Classification,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577212,Multi-Task Faces (MTF) Data Set: A Legally and Ethically Compliant Collection of Face Images for Various Classification Tasks,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577213,Pathways to Sustainable Digital Financial Inclusion: Investigating Critical Factors in Emerging Economies,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577214,An Intelligent LoRa based Women Protection and Safety Enhancement using Internet of Things,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577215,Bridging the Skills Gap of Workers in the Offshore Renewable Energies Industry by Creating a set of Guidelines to Promote Innovative Training,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577216,A Robust Intrusion Detection System using Ensemble Machine Learning,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577217,Novel Gender and Age Prediction from Real Time Facial Images using Linear Regression Algorithm,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577218,"Examining the Relationship Between Stress Levels and Cybersecurity Practices Among Hospital Employees in Three Countries: Ghana, Norway, and Indonesia",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577219,Digital Inclusion in Nothern England: Training Women from Underrepresented Communities in Tech: A Data Analytics Case Study,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577220,New Insights on Weight Estimation from Face Images,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577221,Analyzing the Accuracy of AI Techniques for Breast Cancer Detection,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577222,A Novel Architecture Using Node MCU For Localization And Tracking of People for Women Safety,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577223,Empowering Women’s Safety with smart IoT Technology: A Robust Protection System,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577224,Anomaly Detection of Deepfake Audio Based on Real Audio Using Generative Adversarial Network Model,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577225,Biometric Identification using Periocular Images with ViT-DeepSort and YOLOv7-GAN,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577226,Project Management Effort Estimation Using Agile Manager game platform,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577227,Addressing the Cybersecurity Workforce Gap: Lessons from the Cyber Shujaa Program in Kenya,Luciana,"",Isabella de Freitas,Included,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao,2selecao,3selecao,4selecao",""
rayyan-398577228,"Cyber Security Awareness, Knowledge and Behavior in the Banking Sector in Jordan",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577229,"Rethinking the Place of African Kitchen Hut as a Hub for Business Management, Marketing, Education, Health and Strategies in the Age of Artificial Intelligence",Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
rayyan-398577230,Women’s Safety System by Voice Recognition,Luciana,"",Isabella de Freitas,Excluded,Michelle,"",michelle.wangham,"",luciana.bolan,"","ieee,1selecao",""
